Sentence,Actual,Predicted
"That transition itself could help bring inflation down, because, presumably, people would spend a little less on goods while they start spending more on travel and all sorts of travel services and things like that.",neutral,neutral
What I do want to share with you is how the equity market fits into my thinking about monetary policy.,neutral,neutral
success was fairly uniform across both the inflation-targeting and nontargeting countries.,neutral,neutral
"As a result, growth of spending on consumer durables was expected to be appreciably below the rapid pace in the first half of last year, and housing demand would increase only a little from its recent level.",neutral,dovish
The unwinding in the early months of 1997 of special factors that had boosted net exports in the fourth quarter of 1996 was offsetting some of the effects on production of the persisting strength in domestic demand.,neutral,neutral
"At the same time, business firms generally were not raising their prices sufficiently to compensate for faster increases in their labor costs, to the extent that the latter were occurring, evidently because of the persistence of intense competition in most markets.",hawkish,dovish
"Largely as a consequence of rapidly expanding ""new economy"" investments, gains in productivity had occurred at remarkable rates in recent years.",neutral,neutral
"But I do think that—and I do think also that unemployment insurance benefits will run out in September, so to the extent that’s a factor, which is not clear, it will no longer be a factor fairly soon.",neutral,neutral
"China has eased some of its most stringent COVID containment measures but recently revived travel restrictions in some areas, and its approach to the pandemic remains an upside risk for inflation.",hawkish,dovish
"In contrast, changes in inflation rates in some services categories, such as shelter costs, tend to be more persistent.",neutral,neutral
"Through this channel, the decline in inflation volatility should be reflected in a smaller inflation risk premium in nominal bond yields, which is exactly what is estimated in the Kim, Walsh, and Wei (2019) yield curve model (figure 4, ""Term Premium Decomposition"").",neutral,neutral
"Despite a recent uptick in consumer prices, year-over-year consumer inflation remained at a very low level.",dovish,dovish
"Earlier in the year, as you will all recall, after careful study over a period of years, actually, the Committee announced the decision to implement monetary policy in an ample-reserves regime.",dovish,neutral
"The associated declines in wealth could amplify the effects on economic activity, which could have further knock-on effects on financial markets.",dovish,neutral
The recent strains in financial markets posed additional downside risks to economic growth.,dovish,dovish
"By definition, multifactor productivity includes technical change, organizational improvements, cyclical factors, and myriad other influences on output per hour, apart from capital investment.",neutral,neutral
"However, this shortfall partly reflected the earlier declines in energy prices and decreasing prices of non-energy imports, and some participants pointed out that, by some measures, the most recent monthly inflation readings had firmed a bit.",dovish,neutral
"Later in the week, however, market interest rates moved up in response to the release of the minutes of the February meeting and the mention therein of some sentiment for a larger policy tightening than had been undertaken.",hawkish,hawkish
"When the Committee decides to begin to remove policy accommodation, it will take a balanced approach consistent with its longer-run goals of maximum employment and inflation of 2 percent.",hawkish,neutral
Financial conditions continue to pose a downside risk to the outlook for growth.,dovish,dovish
"Given the pressure of a considerable amount of unused resources, any adverse developments that held down economic expansion would increase the probability of further disinflation.",dovish,dovish
"Indeed, how will we measure inflation, and the associated financial market implications, in the twenty-first century when our data--using current techniques--could become increasingly less adequate to trace price trends over time?",neutral,neutral
"Such a policy would clearly have near-term costs: It would slow the expansion in demand, damp the creation of new jobs, and keep inflation lower than it otherwise would be.",dovish,dovish
"For 1998, the Committee agreed on a tentative basis to set the same ranges as in 1997 for growth of the monetary aggregates and debt, measured from the fourth quarter of 1997 to the fourth quarter of 1998.",neutral,neutral
"Traditionally, these two measures of excess demand move together over the cycle.",neutral,neutral
"For example, if financial market participants thought that the Federal Reserve were not dedicated to maintaining long-run price stability, they would be less willing to hold dollar-denominated assets and the resulting decline in the exchange value of the dollar would tend to add to inflationary pressures.",hawkish,dovish
"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.",hawkish,neutral
"Two members preferred to leave the target range at 1 to 1-1/4 percent, suggesting that the Committee should wait to raise the target range until inflation moves up closer to 2 percent on a sustained basis or inflation expectations increase.",neutral,dovish
But is it really true that prices are more responsive to productivity than wages?,neutral,neutral
"M2 growth picked up appreciably during December and January, evidently reflecting extra demands for liquidity and safety during the century-date-change period.",dovish,neutral
"Another reason for the reliance on judgment in the forecasting process is the practical requirement that the forecast for inflation be consistent with the staff's overall view of the economy, including the forecasts for key economic variables such as wages, interest rates, and consumption spending.",neutral,neutral
"Global factors may have put downward pressure on term premiums because of anxiety about the foreign outlook, which may have increased demand for U.S. assets, or because low rates abroad have depressed U.S. term premiums through a global portfolio balance channel.5 And real rates are quite low globally, reflecting the step-down of productivity growth over the past 10 years as well as shifts in savings and investment demand due to demographic change.6 The Core of the Financial System Is Much Stronger Before turning to the interplay between low rates and the financial system, I will simply point out that both improved risk management at the largest, most systemically important financial institutions (SIFIs) and stronger regulation have made the core of the system much stronger and more resilient than before the crisis.7 The SIFIs have more stable funding, hold much more capital and liquidity, are more conscious of their risks, and are far more resolvable should they fail.",neutral,neutral
"Moreover, most members saw substantial downside risks to the economic outlook and judged that a rate reduction at this meeting would provide valuable additional insurance against an unexpectedly severe weakening in economic activity.",dovish,dovish
"Well, we—as a Committee, we do not desire inflation undershoots.",dovish,neutral
"Potentially, waiting could require more disruptive policy tightening actions later and could risk the credibility of the System's anti-inflation policy.",hawkish,hawkish
Business contacts in a few Districts reported that they had begun to have some more ability to raise prices to cover higher input costs.,hawkish,hawkish
"Although personally I have no doubt that quantification of the price stability objective is fully consistent with the current dual mandate, I also appreciate the delicate issues of communication raised by such a change.",hawkish,neutral
"Therefore, maximum employment (at least if interpreted as full employment or being at NAIRU) and price stability, the statutory mandate of the Federal Reserve, are compatible in the long run.",neutral,neutral
"After falling steeply before the August FOMC meeting, emerging market equity prices were little changed, on net, over the period.",neutral,neutral
"Nonetheless, participants viewed the housing situation and its potential further effect on employment, income, and wealth as one of the major sources of downside risk to the economic outlook.",dovish,dovish
"October 19, 2020 U.S. Economic Outlook, Monetary Policy, and Initiatives to Sustain the Flow of Credit to Households and Firms Vice Chair Richard H. Clarida At the Unconventional Convention of the American Bankers Association, Washington, D.C. (via webcast) Share It is my pleasure to meet virtually with you today at the Unconventional Convention of the American Bankers Association.1 I look forward to my conversation with Rob Nichols,",neutral,neutral
His conclusion is that only by far-reaching decentralization in a market system with competition and free price-fixing is it possible to make full use of knowledge and information.,neutral,neutral
That's why I said that flexibility is also an important characteristic of monetary policy during a time of financial turmoil.,dovish,neutral
"October 12, 2021 U.S. Economic Outlook and Monetary Policy Vice Chair Richard H. Clarida At the 2021 Institute of International Finance Annual Membership Meeting: Sustainable Economic Growth and Financial Stability in a Diverging, Decarbonizing, Digitizing, Indebted World, Washington, D.C. (via webcast) Share It is my pleasure to meet virtually with you today at the 2021 Institute of International Finance Annual Membership Meeting.1 I regret that we are not meeting in person, but I look forward, as always, to a conversation with my good friend and one-time colleague Tim Adams.",neutral,neutral
Answering this question is central to our outlook for both of our dual-mandate goals of maximum employment and price stability.,hawkish,neutral
"With the latter displaying relative vigor, the value of domestic imports was likely to continue to exceed that of exports by a substantial margin, thereby tending to perpetuate the large current account deficits that had worrisome implications for the future.",hawkish,dovish
"But the members generally were concerned that inflation might begin to rise over the intermediate term, especially if labor markets tightened further.",hawkish,hawkish
An important element in interpreting financial market prices is the identification of the risk premiums they contain.,neutral,neutral
"The staff continued to project that the accommodative stance of monetary policy, together with a further attenuation of financial stress, the waning of adverse effects of earlier declines in wealth, and improving household and business confidence, would support a moderate recovery in economic activity and a gradual decline in the unemployment rate over the next two years.",dovish,neutral
"We’re also, as part of our review, looking at potential innovations, changes to the way we think about things, changes to the framework that would lead us—that would be more supportive of achieving inflation on a 2 percent—on a symmetric 2 percent basis over time.",neutral,dovish
"So far this year, payroll employment had expanded at a faster pace than last year and the unemployment rate had declined further, although it remained elevated.",neutral,neutral
"In the view of a number of members, rapid growth of the monetary aggregates, though it had slowed very recently, was a further indication that financial conditions were not restraining economic activity.",hawkish,dovish
"Others indicated that because part of the recent decline in the jobless rate was associated with a reduction in labor force participation, the drop in the unemployment rate likely overstated the overall improvement in the labor market.",dovish,dovish
"indeed, inflation might edge a bit lower in the early stages of the expansion.",dovish,dovish
"At the same time, the staff viewed the risks around its outlook for the unemployment rate as roughly balanced.",neutral,neutral
"Inflation has continued to run below our longer-run objective, in part reflecting lower energy prices.",dovish,dovish
"A concern that one might have about price-level targeting, as opposed to more conventional inflation targeting, is that it requires a short-term inflation rate that is higher than the long-term inflation objective.",neutral,dovish
Market-based measures of inflation compensation remained low,dovish,dovish
"With today's action, the real federal funds rate--measured as the difference between the nominal funds rate and a moving average of core PCE inflation--would move slightly into positive territory.",hawkish,hawkish
Several members noted the benefits of accumulating further information that could help clarify the contours of the outlook for economic activity and inflation as well as the need for further policy action.,neutral,neutral
"This allows the economy to operate at a higher utilization rate without inflationary consequences, at least until the higher productivity is fully anticipated in wage bargaining or until productivity growth stops accelerating.",neutral,neutral
"As a result, national saving increased, providing further impetus to economic growth.",dovish,neutral
"Participants expected that, with further gradual increases in the federal funds rate, economic activity would expand at a solid rate during the remainder of this year and a moderate pace in the medium term, and that labor market conditions would remain strong.",hawkish,hawkish
"Several participants raised concerns regarding the longer-run effects of the pandemic, including how it could lead to a restructuring in some sectors of the economy that could slow employment growth or could accelerate technological disruption that was likely limiting the pricing power of firms.",dovish,neutral
"For asset purchases, the Committee declared that tapering would wait ""until substantial further progress has been made toward the Committee's maximum employment and price stability goals.",dovish,dovish
"They remarked that a stronger dollar, weaker demand, and lower oil prices were factors likely to put downward pressure on inflation in the period ahead and observed that this meant that the return of inflation to the Committee's 2 percent longer-run objective would likely be further delayed.",dovish,dovish
Mishkin and Jonas (forthcoming) describe the experiences of the three transition economies with inflation targets.,neutral,neutral
"And the way I would explain it is, is that inflation that’s too low will mean that interest rates are lower.",dovish,dovish
"remained below the Committee's 2 percent longer-run objective, partly reflecting earlier declines in energy prices and in prices of non-energy imports.",dovish,dovish
"Notwithstanding these developments, some participants cautioned that progress toward the Committee's inflation objective should not be overstated",neutral,neutral
"After precipitous drops in March and April, employment rose strongly in May and June as many people returned to work from temporary layoffs.",hawkish,neutral
Participants generally expected that household demand would gradually strengthen over coming quarters in response to the rise in household wealth from the substantial increase in equity prices that had occurred over the intermeeting period as well as the support for income provided by fiscal policy.,hawkish,neutral
Improved prospects for a trade deal between the United States and China and accommodative monetary policy were cited as driving factors that outweighed weaker-than-expected announcements of corporate earnings for the fourth quarter of 2018 and earnings projections for 2019.,dovish,neutral
A widespread view that the Federal Reserve would take whatever steps were needed to hold down inflation over time probably had contributed to the persistence of subdued long-run inflation expectations during an extended period when rapidly rising demand was pressing on limited supply resources.,neutral,dovish
"For example, in the mid-1970s, just when the FOMC began to specify money growth targets, econometric estimates of M1 money demand relationships began to break down, predicting faster money growth than was actually observed.",neutral,neutral
"There is, in my view, a reasonable prospect that each of these two effects will reverse their contributions to inflation over the next couple of years and that balance between them will be important in determining the pattern of core and overall inflation rates.",neutral,neutral
"As you said, falling oil prices pull down inflation.",dovish,dovish
"In addition, increases in oil prices were expected to pass through to consumer energy prices.",hawkish,hawkish
"Given the substantial uncertainty still attached to projections of money growth consistent with the Committee's basic objectives for monetary policy, the members agreed that there was no firm basis for changing the tentative ranges set in July 1996.",neutral,neutral
"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.",hawkish,neutral
"Many members of the Committee, participants, have said that they think policy should be based on the actual evolution of economic activity and inflation, which tends to be variable over time, and that’s why I say I anticipate it will be data dependent.",neutral,neutral
Some participants also noted that recent readings on some survey measures of consumers' inflation expectations had declined or stood at historically low levels.,dovish,dovish
Labor cost increases had not turned up and core inflation continued to edge lower.,dovish,dovish
A few observed that the combination of recent labor market improvements and continued softness in inflation had led them to lower their estimates of the longer-run normal rate of unemployment.,neutral,dovish
"Fiscal policy was expected to be somewhat less expansionary next year, though still an important contributor to economic growth.",neutral,neutral
"Eventually, financial markets may develop the instruments and associated analytical techniques for unearthing these implicit changes in the general price level with some precision.",neutral,neutral
"In their review of the outlook for prices, members noted that incoming data over the intermeeting period had shown a slowing in core inflation from the high levels posted earlier in the year, consistent with the Committee's view that a portion of the earlier increase had reflected transitory factors.",neutral,neutral
"Moreover, investing in EMEs has become more attractive as many EMEs have improved their macroeconomic policies and institutional frameworks over recent decades; growth differentials may partly be reflecting these improvements.",neutral,neutral
"In addition, the Survey of Terms of Business Lending conducted in the first week of November showed that interest rates on C&I loans were generally little changed while spreads remained extremely wide.",hawkish,neutral
Participants agreed that the labor market had remained strong over the intermeeting period and that economic activity had risen at a moderate rate.,neutral,neutral
The persistence of underutilized resources was expected to foster some moderation in core price inflation.,neutral,dovish
But dividing that nominal value change into components representing changes in real quantity versus price requires that one define a unit of output that is to remain constant in all transactions over time.,neutral,neutral
"Over the intermeeting period, yields on short- and intermediate-term nominal Treasury securities fell, while yields on inflation-indexed Treasury securities of comparable maturity increased somewhat, pushing inflation compensation considerably lower at those horizons.",dovish,dovish
"These included a decline in the cost of business capital, a recent rise in orders and backlogs of nondefense capital goods, persisting gains in productivity that undoubtedly pointed to growing profit opportunities, progress in strengthening business balance sheets, and reduced capital overhangs.",hawkish,neutral
"the outlook for housing activity remained favorable, given an overall economic performance in line with current forecasts of a robust expansion, related growth in incomes, and still relatively attractive mortgage interest rates.",hawkish,neutral
"Price inflation had picked up a little but, abstracting from energy, had remained relatively subdued.",neutral,neutral
"Nonetheless, with rising productivity and moderate wage gains likely continuing to help hold down unit labor costs, the outlook for subdued inflation remained promising, especially for the nearer term.",dovish,neutral
"Household spending is increasing gradually, but remains constrained by high unemployment, modest income growth, lower housing wealth, and tight credit.",dovish,dovish
We have not seen wage growth pick up.,neutral,dovish
I think that keeping interest rates low is still appropriate for our economy.,dovish,dovish
"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.",hawkish,neutral
"In particular, incoming data and anecdotal information indicated that economic activity had appreciably more forward momentum than previously perceived and that inflation pressures could be intensifying.",hawkish,hawkish
"Fourth, I will discuss the major findings of the review as codified in our new Statement on Longer-Run Goals and Monetary Policy Strategy and highlight some important policy implications that flow from them.",neutral,neutral
"Broad equity prices rose, adding to their substantial gains since the middle of 2010.",neutral,hawkish
"First, if, as projected, core PCE inflation this year does come in at, or certainly above, 3 percent, I will consider that much more than a ""moderate"" overshoot of our 2 percent longer-run inflation objective.",hawkish,hawkish
"And, as I went into detail in Jackson Hole and won’t repeat all of that there, there are other ways in which we see underutilization—high levels that have come down only very marginally of part-time employment for economic—or involuntary part-time employment, perhaps some remaining shortfall of labor force participation as a result of cyclical factors.",neutral,dovish
"some market-based measures of inflation expectations and inflation risk suggested continuing concern among market participants about the risk of higher medium-term inflation, perhaps reflecting large fiscal deficits and the size of the Federal Reserve's balance sheet.",hawkish,hawkish
"In contrast, economic activity declined in Japan during the third quarter after a surge in the first half of the year.",neutral,neutral
"Also, in the view of a number of participants, the economy was possibly producing in the neighborhood of its potential, and the persistent strength in spending of late suggested that resource markets could tighten further and inflation pressures build.",hawkish,hawkish
"Household spending stepped up in mid-April, coinciding with the first disbursement of stimulus payments to households and a ramp-up in the payout of unemployment benefits, and showed the most pronounced increases in the states that received more benefits.9 With some of the fiscal support measures either provided as one-off payments or slated to come to an end in July, the strength of the recovery will depend importantly on the timing, magnitude, and distribution of additional fiscal support.",dovish,neutral
"Participants noted that the timing of the resumption of growth in the U. S. economy depended on the containment measures put in place, as well as the success of those measures, and on the responses of other policies, including fiscal policy.",neutral,neutral
"You know, it’s interest rates, it’s risk spreads, it’s currency, it’s the stock market, it’s credit availability, it’s many, many factors.",neutral,neutral
"At the conclusion of this discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: The information reviewed at this meeting suggests that the expansion in economic activity is still robust.",neutral,neutral
The unmooring of inflation expectations greatly complicated the process of making monetary policy,neutral,dovish
"When anticipations of Fed tapering led to higher U.S. interest rates and higher market volatility, these trades may have been quickly unwound, engendering particularly sharp declines in EME exchange rates and asset prices.",neutral,dovish
The Committee's accompanying statement indicated that economic growth had been quite strong so far this year.,hawkish,hawkish
"You can get to 20, if you wanted to, easily, but labor force participation, the unemployment rate, different age groups of—you know, prime-age labor force participation, in particular, gets a lot of focus, the JOLTS data get a lot of focus.",neutral,neutral
"But, as a consequence of low interest rates, the servicing requirement for that debt relative to homeowners' income is roughly in line with the historical average.",dovish,neutral
"Looking ahead, the projected slowing in the growth of final sales, including the effects of weak export markets, likely would reinforce business efforts to bring the growth of their inventories into better alignment with that of their sales, and such a development should contribute to the projected slowing in overall economic activity in coming quarters.",dovish,neutral
"The Committee's accompanying statement noted that economic growth had slowed over the course of the year, partly reflecting a substantial cooling of the housing market.",dovish,dovish
The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals.,neutral,neutral
"The extent and timing of any additional firming that may be needed to address these risks will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information.",hawkish,neutral
"Inflation was still expected to be somewhat higher this year than last year, largely reflecting an upturn in the prices for food and non-energy imports.",hawkish,neutral
"In addition, at every policy meeting, each member of the MPC is operating with the same information from the staff, and before the quarterly meetings that precede an Inflation Report, the members have sat through a number of discussions covering all aspects of the forecast.",neutral,neutral
"I presented these estimates in my testimony to emphasize the continuing importance the profession attaches to NAIRU, the central tendency of current NAIRU estimates, and the absence of significant upward adjustments to estimates of trend growth.",dovish,neutral
"Against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the Committee believes that the risks continue to be weighted mainly toward conditions that may generate economic weakness in the foreseeable future.",dovish,dovish
"Although in a number of sectors of the economy the imbalances between demand and supplyâ€”including labor supplyâ€”are substantial, I do continue to judge that these imbalances are likely to dissipate over time as the labor market and global supply chains eventually adjust and, importantly, do so without putting persistent upward pressure on price inflation and wage gains adjusted for productivity.",neutral,neutral
"The Committee reiterated, however, that purchases were not on a preset course, and that its decisions about the pace of purchases would remain contingent on its outlook for the labor market and inflation as well as its assessment of the likely efficacy and costs of such purchases.",neutral,neutral
"A particular phenomenon that touches on all these issues is the movement of asset prices, especially the prices of equities and residential real estate.",neutral,neutral
"First, the significant appreciation of the dollar over the last two years has clearly had an important restraining effect on U.S. inflation, both via the direct effect on the prices of imported goods and on the pricing power of domestic firms producing import-competing goods.",dovish,dovish
"The corresponding depreciation in other countries currencies will result in a gradual increase in the foreign currency price of U.S. exports, compared to the prices of foreign produced goods.",dovish,neutral
The strongest case for a link between monetary policy and changes in inflation dynamics is in the greater stability of inflation.,neutral,neutral
"When interest rates increase, prices will undoubtedly adjust to some extent--in some cases simply by rising less rapidly than they would otherwise--and debt-service obligations will move up.",hawkish,hawkish
"How the forces of demand, potential supply, and expectations interact has probably not been changed in any fundamental way by the recent trend of globalization.",neutral,neutral
And we were actually quite concerned that growth was not sufficient to continue to bring the unemployment rate down.,dovish,dovish
"The System Open Market Account manager and the secretary will keep the Committee informed of ongoing developments regarding the System's balance sheet that could affect the attainment over time of the Committee's objectives of maximum employment and price stability. """,neutral,neutral
"The economy continued to perform well into 2007, with solid growth through the third quarter and unemployment remaining near recent lows.",hawkish,neutral
"Job gains had been strong, on average, in recent months, and the unemployment rate had remained low.",hawkish,hawkish
"It also requires that policy tighten or ease systematically to bring aggregate demand in line with the economy's productive potential, not only because output stabilization is a policy objective in its own right",hawkish,neutral
"A considerable literature suggests that successful monetary policies should stabilize, or ""anchor,"" inflation expectations so as to prevent them from becoming a source of instability in their own right (Goodfriend, 1993; Evans and Honkapohja, 2003).",hawkish,neutral
Both of these views would suggest a lower level of potential output and thus reduced scope for combating unemployment with additional monetary policy stimulus.,dovish,dovish
"First, longer-maturity obligations may be more attractive because of more stable inflation, better-anchored inflation expectations, and a reduction in economic volatility more generally.",dovish,neutral
"But I have showed that past experience actually indicates that a reduction in vacancies can take place without a big loss of employment, and this is the kind of soft landing anticipated by FOMC participants.",neutral,neutral
"In a virtuous circle, stable inflation expectations help the central bank to keep inflation low even as it retains substantial freedom to respond to disturbances to the broader economy.",hawkish,neutral
and it seems to produce results not too different in practice from those associated with central banks that are flexible inflation targeters.,neutral,neutral
"The unemployment rate was unchanged over the period between the April and June meetings,",neutral,neutral
But the cumulative force of recent developments appears likely to yield a slowing in the pace of growth next year.,dovish,dovish
"In our FOMC statements, we have indicated we expect to maintain the target range at this level until we are confident that the economy has weathered recent events and is on track to achieve our maximum-employment and price-stability goals.",neutral,neutral
"In particular, a surprise tightening of policy raises the risk premium, lowering current stock prices, and a surprise easing lowers the risk premium, raising current stock prices.",neutral,neutral
"Future policy adjustments would depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information.",neutral,neutral
"For a variety of reasons, oil prices already had risen appreciably since the start of the year.",hawkish,hawkish
Table 2 Distribution of Employment and of Displaced Workers by Industry Category Industry Employment Displaced Workers Restructuring 23.1 42.2 Nonrestructuring 76.9 57.8 Total 100 100 Source: Displaced Worker Supplement to the CPS.,neutral,neutral
Inflation averaging doesn't define how much above 2 percent is moderate and how long some value of elevated inflation should be tolerated.,hawkish,neutral
Our tools work on demand.,neutral,neutral
"In terms of the, you know, inflation, a couple things—your second question.",neutral,neutral
"Additionally, can one make any other generalizations concerning recessions that follow asset-price booms and busts and how they differ from other recessions?",neutral,neutral
"As always, each participant’s projections are conditioned on his or her own view of appropriate monetary policy.",neutral,neutral
"Accordingly, in the context of the Committee's long-run objectives for price stability and sustainable economic growth, and giving careful consideration to economic, financial, and monetary developments, the Committee decided that a slightly higher federal funds rate might be acceptable or a somewhat lower federal funds rate would be acceptable during the intermeeting period.",neutral,neutral
"Conversely, perhaps the transitory factors boosting productivity will recede more sharply than most observers anticipate, and the output gap will close more rapidly.",neutral,neutral
A second question is whether moving in this direction would matter much for the conduct of monetary policy in the United States.,neutral,neutral
The effects of reduced monetary and fiscal policy stimulus were expected to be counterbalanced by continued low long-term interest rates and an abatement of energy-related headwinds.,neutral,neutral
Readings on consumer price inflation had picked up somewhat mainly because of increases in oil and gasoline prices earlier in the year.,hawkish,neutral
"In the household sector, the rise in home mortgage debt likely slowed a bit further in the first quarter, as home-price appreciation appeared to have remained sluggish.",neutral,neutral
"In light of increased uncertainties and muted inflation pressures, we now emphasize that the Committee will closely monitor the implications of incoming information for the economic outlook and will act as appropriate to sustain the expansion with a strong labor market and inflation near its 2 percent objective.",dovish,dovish
I’m old enough to remember what very high inflation was like.,neutral,hawkish
inflation was projected to pick up gradually in association with a partial reversal of the decline in energy prices this year.,neutral,hawkish
