Sentence,Actual,Predicted
"Many members were concerned about the still-sensitive state of financial markets and thought that an easing of policy would help to support improvements in market functioning, thereby mitigating some of the downside risks to economic growth.",dovish,dovish
Market-based measures of inflation compensation remained low,dovish,dovish
"For example, wages and prices that are set for some period in the future will of necessity embody the inflation expectations of the parties to the negotiation",neutral,neutral
Some participants also noted that recent readings on some survey measures of consumers' inflation expectations had declined or stood at historically low levels.,dovish,dovish
"However, if real (or nominal) government spending is held constant, the surplus will rise over time as a share of GDP, putting downward pressure on the equilibrium real rate, offsetting, at least in part, the effect on the real rate of the higher trend productivity.",dovish,hawkish
"Assisted by the whole array of market prices, entrepreneurs seek to identify the types of products and services that individuals will value, especially the added value placed on products and services that customers find better tailored to their particular needs, delivered in shorter time frames, or improved in quality.",neutral,neutral
The staff viewed the extent of uncertainty around its June projections for real GDP growth and the unemployment rate as roughly in line with the average over the past 20 years.,neutral,neutral
"With inflation much higher than the federal funds rate, the real federal funds rate is negative, even after our rate increases this year.",hawkish,hawkish
core measures of consumer prices showed mixed changes on a twelve-month basis.,neutral,neutral
"To support continued progress toward maximum employment and price stability, the Committee expects that a highly accommodative stance of monetary policy will remain appropriate for a considerable time after the asset purchase program ends and the economic recovery strengthens.",dovish,dovish
An extreme version of this view is that bubbles probably do not exist--that rational market processes always price assets at their fundamental value.,neutral,hawkish
The rapid pace of investment also helped to hold down inflationary pressures by increasing the growth of productive capacity.,hawkish,hawkish
"In addition, increases in oil prices were expected to pass through to consumer energy prices.",hawkish,hawkish
they noted that inflation had been persistently below 2 percent during the current economic expansion and that core inflation on a 12-month basis was little changed in recent months at a level below 2 percent.,dovish,dovish
"Recent FOMC Decisions and the New Monetary Policy Framework At our most recent FOMC meetings, the Committee made important changes to our policy statement that upgraded our forward guidance about the future path of the federal funds rate and asset purchases, and that also provided unprecedented information about our policy reaction function.",neutral,dovish
The effect of higher energy prices on real incomes was likely still restraining consumer spending.,neutral,dovish
This secular decline in term premiums since 1990 appears to be correlated with the decline in long-run inflation uncertainty and in short-term interest rate uncertainty.,dovish,neutral
"In particular, incoming data and anecdotal information indicated that economic activity had appreciably more forward momentum than previously perceived and that inflation pressures could be intensifying.",hawkish,hawkish
"Because equity valuations may pose asymmetric risks to the economic forecast, the implied optimal responses of policy to changes in asset prices may be nonlinear.",neutral,neutral
"Moreover, inflation was running at a fairly low rate and quite possibly would edge down a little further over coming quarters.",dovish,dovish
"Household spending was projected to grow at a fairly solid rate, supported by higher employment and somewhat lower energy prices but damped somewhat by lessened stimulus from gains in wealth and the need for households to rebuild savings.",hawkish,neutral
"Although readings on core inflation had improved modestly since the spring, nearly all participants viewed core inflation as uncomfortably high and stressed the importance of further moderation.",hawkish,hawkish
The ultimate responsibility for price stability rests with the Federal Reserve.,neutral,hawkish
"Against this background, the members agreed on the need to continue to monitor the economy with care for signs either of a potential upturn in inflation or greater softness in the expansion than they were currently forecasting and to be prepared to respond promptly in either direction.",neutral,neutral
Actual or realized saving depends on the equilibrium values of the real interest rate and other economic variables.,neutral,neutral
That means that we can run at low levels of unemployment and have a historically good—in some dimensions—labor market without having to worry about inflation.,neutral,dovish
"Another participant mentioned, however, that recent sluggish growth of the monetary aggregates suggested that the stance of policy was not overly accommodative.",dovish,hawkish
"But it could be that if interest rates rise quickly, for example, that we would be in a situation of not giving remittances to the Treasury for a couple of years, and that would create problems, no doubt, for the Fed in terms of congressional response.",neutral,dovish
"These are exactly the concerns expressed in Tom Sargentâ€™s (2000) book on the rise and fall of U.S. inflation, in which he worries that a misunderstanding of the inflation process might again lead to a high-inflation equilibrium.",hawkish,hawkish
"And we’re learning to, to engage in economic activity.",neutral,neutral
"We also expect it will be appropriate to maintain the current target range for the federal funds rate at 0 to 1/4 percent until labor market conditions have reached levels consistent with the Committee's assessments of maximum employment, until inflation has risen to 2 percent, and until inflation is on track to moderately exceed 2 percent for some time.",dovish,dovish
"The ongoing public health crisis will weigh heavily on economic activity, employment, and inflation in the near term, and poses considerable risks to the economic outlook over the medium term.",dovish,dovish
So unemployment has tended to go up much faster for minorities and for others who are—tend to be at the low end of the income spectrum.,dovish,dovish
"Putting It All Together I would now like to step back and consider the relative contributions to the trade deficit of each of the explanations I have discussed, as shown in figure 6.7 To the extent that the contributions of these shocks are reasonably well measured by the macroeconomic model simulations, the most important message I draw from them is that no single factor constitutes a dominant explanation of the deterioration in the U.S. current account balance.",hawkish,neutral
"After taking account of both frictional and structural unemployment, what unemployment rate is roughly equivalent to the maximum level of employment that can be sustained in the longer run?",neutral,neutral
The period of sub-par expansion was expected to foster an appreciable easing of pressures on resources and some moderation in core price inflation.,dovish,dovish
"Already, various trimmed price indexes are running much closer to 2 percent.",neutral,neutral
"That sentiment was apparently reinforced over the remainder of the period by the comments of several Federal Reserve officials and the release of the August employment report, which seemed to convey the view that the economy was emerging from its ""soft patch. """,neutral,hawkish
Market-based measures of inflation compensation have declined somewhat,dovish,dovish
"With regard to the outlook for inflation, the gap between actual and potential output was anticipated to diminish only slowly unless aggregate demand expanded much more rapidly than the members currently foresaw.",neutral,dovish
Consumer price inflation had remained relatively subdued over the summer months.,dovish,dovish
"With the latter displaying relative vigor, the value of domestic imports was likely to continue to exceed that of exports by a substantial margin, thereby tending to perpetuate the large current account deficits that had worrisome implications for the future.",hawkish,hawkish
"Measures of inflation compensation based on Treasury Inflation-Protected Securities (TIPS) edged up, on net, remaining close to their pre-pandemic levels.",hawkish,hawkish
"Headline stock price indexes in the AFEs generally ended the period higher, whereas bank stocks in Europe declined.",neutral,neutral
So that means a more prolonged shortfall of inflation.,neutral,dovish
"In hindsight, the paths of inflation, real output, stock prices and exchange rates may have seemed preordained, but no such insight existed as we experienced it at the time.",neutral,neutral
"Consumer price inflation continued to run below the Committee's longer-run objective of 2 percent, restrained in part by earlier decreases in energy prices and in prices of non-energy imports.",dovish,dovish
"And maybe reducing their level of the natural rate of unemployment, which has been the trend.",hawkish,dovish
"The productivity boom after the Civil War resulted from a variety of technological advances, including the expansion of and improvements in the use of steam power, railroad transportation, and communication by telegraph.",neutral,neutral
Nonfarm payroll employment continued to expand through July and the civilian unemployment rate was unchanged at 4.,hawkish,hawkish
"These participants cited, for example, the still-elevated levels of long-term unemployment and workers employed part time for economic reasons as well as low labor force participation.",dovish,dovish
"Staff Economic Outlook In the forecast prepared for the March FOMC meeting, the staff's outlook for real economic activity was broadly similar to that at the time of the January meeting.",neutral,neutral
"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the SOMA in accordance with the following domestic policy directive: ""Consistent with its statutory mandate, the Federal Open Market Committee seeks monetary and financial conditions that will foster maximum employment and price stability.",dovish,dovish
"Participants' Views on Current Conditions and the Economic Outlook In conjunction with this FOMC meeting, members of the Board of Governors and Federal Reserve Bank presidents submitted their projections of the most likely outcomes for real GDP growth, the unemployment rate, inflation, and the federal funds rate for each year from 2015 through 2018 and over the longer run, conditional on each participant's judgment of appropriate monetary policy.",neutral,neutral
The uncertainty about the threshold unemployment rate also suggests a differing degree of intensity in the response of monetary policy to deviations of inflation and output to their respective targets.,neutral,neutral
"This allows the economy to operate at a higher utilization rate without inflationary consequences, at least until the higher productivity is fully anticipated in wage bargaining or until productivity growth stops accelerating.",neutral,dovish
That is why foreign trade deficits are typically thought of as self-correcting.,neutral,hawkish
"Net exports subtracted more than 1/2 percentage point from GDP growth in both 2014 and 2015,",neutral,dovish
"Members recognized that from the standpoint of the level of real short-term interest rates, monetary policy could already be deemed to be fairly restrictive.",hawkish,hawkish
"""4 Importantly, the level of uncertainty around the paths for inflation and employment are higher than normal as we navigate the unprecedented reopening of the world economy.",neutral,dovish
We know that the short end of the yield curve is dominated by monetary policy and cyclical factors.,neutral,neutral
"As illustrated by the left-hand panel of figure 6, since 2000, both FOMC participants and respondents to the Blue Chip survey have markedly reduced their projections of the level of real short-term interest rates expected to prevail in the longer run.",dovish,dovish
The outbreak has also disrupted economic activity in many countries and has prompted significant movements in financial markets.,neutral,dovish
"During the 1980s and 1990s, the Federal Reserve succeeded in bringing inflation down from double-digit levels to the average rate of about 2 percent that has prevailed over the past decade.",dovish,hawkish
"The System Open Market Account manager and the secretary will keep the Committee informed of ongoing developments regarding the System's balance sheet that could affect the attainment over time of the Committee's objectives of maximum employment and price stability. """,neutral,neutral
"The first is what to do about supply shocks, like large increases in oil prices, which tend to increase both inflation and unemployment.",hawkish,hawkish
"Economic activity expanded in the second quarter, partly reflecting growth in consumer spending and exports.",hawkish,hawkish
"Well, you’re certainly right that we have been over-optimistic about out-year growth.",hawkish,dovish
"The extraordinary achievement of 1996, of course, was reaching such low levels of unemployment and inflation at the same time.",neutral,hawkish
"For example, we have used some of our work to look at interest rate risk and interest rate sensitivity and, you know, found generally that banks can also sustain a significant increase in long-term interest rates as well for a number of reasons, one of them being that higher interest rates increase their franchise value because it increases their net interest margin over time.",neutral,hawkish
"This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international developments.",neutral,neutral
"In furtherance of these objectives, the Committee at this meeting established ranges for growth of M2 and M3 of 1 to 5 percent and 2 to 6 percent respectively, measured from the fourth quarter of 1998 to the fourth quarter of 1999.",neutral,hawkish
"Al­though core inflation and the 12-month trimmed mean PCE inflation rate calculated by the Federal Reserve Bank of Dallas remained a little below 2 percent, many participants anticipated that high levels of resource utilization and stable inflation expectations would keep overall inflation near 2 percent over the medium term.",neutral,hawkish
The Congressional Budget Office (CBO) estimates that federal tax increases and spending cuts will slow the pace of real gross domestic product (GDP) growth about 1-1/2 percentage points this year.3 Tight fiscal policy may also be preventing faster reductions in unemployment.,dovish,dovish
"Computing power may not be falling in price quite so rapidly now as in the late 1990s, but a dollar nevertheless buys a great deal more computational capacity today than it did even five years ago.",neutral,neutral
"that is, the capacity utilization rate is lower than would have been expected, based on past experience, at the prevailing unemployment rate.",dovish,dovish
"At the conclusion of this discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: The information reviewed at this meeting suggests that the expansion in economic activity is still robust.",neutral,hawkish
"In their discussion of the economic situation and outlook, meeting participants noted that the economic information received since the last meeting pointed to a somewhat more favorable outlook regarding both inflation and economic growth than they had earlier anticipated.",neutral,hawkish
"Following these swings, inflation was expected to finish the year at just below 2 percent.",dovish,neutral
"And we’ve talked about the effects on asset prices,",neutral,neutral
"To keep the experiments as clean as possible, I assume that the economy begins at full employment and with both headline and core inflation at desired levels.",neutral,neutral
"To measure productivity and standards of living we need measures of output but, to measure output, we need to be able to define products clearly and in terms of units that do not change from one period to the next.",neutral,neutral
"That's particularly important, because the lags in the effect of policy on economic activity and prices mean that policy decisions are necessarily based on a view of the likely path for the economy over several years, relative to the Federal Reserve's legislated objectives of maximum employment and stable prices.",neutral,neutral
"Nevertheless, most participants agreed that, although the level of inventories of unsold homes that homebuilders desired was uncertain, the correction of the housing sector was likely to continue to weigh heavily on economic activity through most of this year--somewhat longer than previously expected.",neutral,dovish
"Although in a number of sectors of the economy the imbalances between demand and supplyâ€”including labor supplyâ€”are substantial, I do continue to judge that these imbalances are likely to dissipate over time as the labor market and global supply chains eventually adjust and, importantly, do so without putting persistent upward pressure on price inflation, wage gains adjusted for productivity, and the 2 percent longer-run inflation objective.",neutral,dovish
"While each of the Asian economies is unique in many important respects, the sources of their spectacular growth in recent years, in some cases decades, and the problems that have emerged are relevant to a greater or lesser extent to nearly all of them.",neutral,neutral
"The considerable monetary ease already in place, the prospect of significantly more fiscal stimulus, the continuing strong gains in structural productivity, and the anticipated improvement in business confidence would provide significant impetus to spending.",neutral,hawkish
"However, economic activity continued to be depressed in areas affected by the downturn in the energy sector and falling agricultural commodity prices, al­though several participants noted that the recent firming in crude oil prices had led to a modest increase in drilling activity.",neutral,neutral
"Although higher energy and other costs had the potential to add to inflation pressure, core inflation had been relatively low in the preceding few months and longer-term inflation expectations remained contained.",neutral,dovish
"Business contacts in a number of Districts noted an improvement in housing activity and a continued rise in house prices, although their reports showed that the pace of sales and construction varied across regions.",hawkish,neutral
"This difficulty of forecasting inflation has important implications, as we shall see.",neutral,neutral
"Although many participants remained concerned about downside risks attending the outlook for inflation, a majority of participants saw the risks to the outlook for inflation as balanced.",neutral,neutral
"in contrast, however, overall business investment in equipment and software was projected to strengthen in response to the upward trend in replacement demand, especially for computers and software",neutral,neutral
"So and, and, you know, the shorter-term ones do tend to move around based on, for example, gasoline prices.",neutral,neutral
"Millions of new jobs have been created in the last few years; and unemployment, now at 4.3 percent, has been at or below 5 percent for over two years.",hawkish,hawkish
"The recent lower readings on inflation have been driven significantly by what appear to be one-off reductions in certain categories of prices, such as wireless telephone services and prescription drugs.",dovish,dovish
We continue to discuss whether or not the unemployment rate itself is an adequate measure of how much underutilization of labor resources there really is.,neutral,neutral
Housing activity was generally holding up well across the country as the effects of appreciably reduced mortgage interest rates apparently compensated for the negative effects of declining financial wealth on the demand for housing.,dovish,neutral
"To support continued progress toward maximum employment and price stability, the Committee today reaffirmed its view that a highly accommodative stance of monetary policy will remain appropriate for a considerable time after the asset purchase program ends and the economic recovery strengthens.",dovish,dovish
A number of participants stressed that recently enacted fiscal support would help address some of the hardships faced by these groups and that monetary policy would also help by promoting the economy's return to the Committee's goals of broad-based and inclusive maximum employment and price stability.,dovish,dovish
"Consumer prices had edged up in recent months,",hawkish,neutral
"Increasingly, it will be important for the Federal Reserve to take into account the effects of climate change and associated policies in setting monetary policy to achieve our objectives of maximum employment and price stability.",neutral,neutral
It was not only capital spending and equity prices that seemed to overshoot in the late 1990s; credit was provided with undue optimism about prospects for repayment.,neutral,dovish
"Some uncertainties, such as those associated with the election, had been resolved, but others persisted, including the prospects for oil prices and their consequences for the economy.",neutral,neutral
Indicators of longer-term inflation expectations were little changed on balance.,neutral,neutral
"Indeed, the proposed reduction in the nominal federal funds rate would about offset the apparent increase in the real federal funds rate stemming from a recent decline in inflation.",dovish,dovish
"Monetary Policy With that outlook in mind, let me turn to monetary policy.",neutral,neutral
"So, there has been impact through lower interest rates, but I think more broadly is the indirect effects.",dovish,dovish
