true_label,original_sent,text_output
0,"Talentum expects that the net sales of its core business will increase in 2008 , compared to 2007 .","POSITIVE
The sentence expresses a positive sentiment as it indicates an expectation of increased net sales for Talentum's core business in 2008 compared to the previous year."
2,"The EBRD is using its own funds to provide a 21.6 mln A loan while the B portion of 10 mln Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc 7.7 mln Euros and Pohjola Bank Plc 2.3 mln Euros .","NEUTRAL
The sentence provides factual information about the allocation of funds by the EBRD and the syndication of a portion of the loan to two Finnish commercial banks, without expressing any positive or negative sentiment."
0,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,"POSITIVE
The sentence expresses a positive sentiment as it highlights an increase in net sales, indicating growth and success in the business."
2,Cargotec will also move Hallberg-Ivarsson 's service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg .,"NEUTRAL
This sentence is neutral as it simply states a business decision without expressing any positive or negative sentiment."
2,"Paychex has more than 100 offices serving approximately 554,000 payroll clients nationwide as of May 31 , 2009 .","NEUTRAL
The sentence provides factual information about the number of offices and clients served by Paychex without expressing any positive or negative sentiment."
0,Finnish metal components supplier Componenta Oyj said its net profit went up to 3.5 mln euro $ 4.5 mln in 2006 from 2.2 mln euro $ 2.8 mln in 2005 .,"POSITIVE
The sentence expresses a positive sentiment as it indicates an increase in net profit for Componenta Oyj from 2005 to 2006."
2,Vacon recently announced plans to build its North American headquarters at 5 Business Park in Chambersburg .,"NEUTRAL
This sentence is neutral as it simply states a factual piece of information without expressing any positive or negative sentiment."
0,"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .","POSITIVE
The sentence expresses a positive sentiment as it highlights an increase in both operating profit and turnover for the six-month period, indicating growth and success in the business."
0,"9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak .","NEGATIVE
The sentence contains a mix of positive and negative sentiments, but the overall tone is negative due to the mention of weak demand in the Baltics."
0,The Department Store Division reported an increase in sales of 4 per cent .,"POSITIVE
The sentence indicates a positive sentiment as it mentions an increase in sales, which is typically seen as a positive outcome for a business."
2,Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 .,"NEUTRAL
The sentence provides factual information about Mr. Koistinen's professional background without expressing any positive or negative sentiment."
2,"Ruukki 's delivery includes steel structures , including installation , for Krakeroy bascule bridge and steel piles for the bridge foundations .","NEUTRAL
The sentence provides factual information about Ruukki's delivery of steel structures for a bridge project without expressing any positive or negative sentiment."
2,"Aug. 17 , 2010 ( Curbed delivered by Newstex ) -- And now , the latest from Racked , covering shopping and retail from the sidewalks up .","NEUTRAL
The sentence is neutral as it simply provides information about the latest news from Racked, covering shopping and retail. There is no indication of positive or negative sentiment."
2,The order is included in Metso 's fourth quarter 2007 order backlog .,"NEUTRAL
The sentence is neutral as it simply states a fact without expressing any positive or negative sentiment."
1,Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 .,"NEGATIVE
The sentence expresses a negative sentiment as it mentions a decrease in cash flow from operations from the previous year."
2,"Erkki Jarvinen , President of Rautakirja and the head of the Sanoma Trade division , will leave his current tasks in spring 2009 for a similar position outside the Sanoma Group .","NEUTRAL
The sentence is providing neutral information about Erkki Jarvinen leaving his current position for a similar one outside the Sanoma Group in spring 2009."
2,"China Unicom , NYSE : CHU , HKSE : 0762 , and SHSE : 600050 , the second largest mobile carrier in the country .","NEUTRAL
The sentence provides factual information about China Unicom being the second largest mobile carrier in the country without expressing any positive or negative sentiment."
0,"Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .","POSITIVE
The sentence expresses a positive sentiment as it highlights growth in mobile subscriptions, indicating a positive trend in the industry."
2,"Finland 's Technopolis is planning to bring the first section of a technopark on stream in St. Petersburg at the end of 2008 , Kari Mikkonen , vice president of Technopolis , told reporters in Helsinki .","NEUTRAL
The sentence is neutral as it simply states a fact about Technopolis planning to bring a technopark to St. Petersburg in 2008 without expressing any positive or negative sentiment."
0,Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,"POSITIVE
The sentence expresses a positive sentiment as it highlights an increase in the net operating profit of the Finnish Bank of Åland from EUR 4.8 mn to EUR 6.4 mn, indicating growth and success."
0,"The price of raw material aluminium went up at the end of 2005 , but the company considers its outlook for 2006 favourable .","POSITIVE
The sentence expresses a positive sentiment as it mentions that the company considers its outlook for 2006 as favorable, despite the increase in the price of raw material aluminium at the end of 2005."
2,"In future , the plant will focus on the production of flange profiles for wind farm towers .","NEUTRAL
The sentence is neutral as it simply states a future plan for the plant without expressing any positive or negative sentiment."
2,The project also implies an underground parking lot for 56 vehicles .,"NEUTRAL
The sentence is providing factual information about the project without expressing any positive or negative sentiment."
0,Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense .,"POSITIVE
The sentence expresses a positive sentiment as it mentions that Finnish Cargotec's Kalmar has received a significant order from the US Department of Defense, indicating a successful business deal."
2,"A total of 1,800,000 stock options were issued in the 2003 stock option scheme .","NEUTRAL
This sentence is providing factual information about the number of stock options issued in a specific year, without expressing any positive or negative sentiment."
0,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,"POSITIVE
The sentence expresses a positive sentiment as it indicates an increase in net sales, which is typically seen as a positive outcome for a business."
2,"The record date for dividend distribution is March 14 , 2008 .","NEUTRAL
This sentence is providing factual information about the record date for dividend distribution, without expressing any positive or negative sentiment."
0,Combining this deep domain expertise with our Application Service Management ASM and outsourcing service offerings has now proved to be a winning combination .,"POSITIVE
The sentence expresses a positive sentiment by mentioning the successful combination of deep domain expertise with service offerings."
2,Odell has not contacted the State of Finland in this issue .,"NEGATIVE
The sentence expresses a lack of communication or effort from Odell, indicating a negative sentiment."
2,The total project duration is three years and it is valued at some EUR11 .5 m.,"POSITIVE
The sentence expresses a neutral statement about the duration and value of a project, without any indication of positive or negative sentiment."
0,"Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia .","POSITIVE
The sentence expresses a positive sentiment as it mentions a company being awarded a contract, which typically indicates success and opportunity for growth."
0,28 October 2010 - Finnish wood products technology supplier Raute Oyj HEL : RUTAV said today it swung to a net profit of EUR3m for the first nine months of 2010 versus a net loss of EUR5 .2 m for the same period a year earlier .,"POSITIVE
The sentence is classified as 'POSITIVE' because it mentions that the company Raute Oyj swung to a net profit of EUR3m for the first nine months of 2010, which indicates a positive financial performance compared to the previous year's net loss of EUR5.2m."
2,The value of the orders is over EUR 25mn .,"POSITIVE
The sentence expresses a positive sentiment as it indicates a high value of orders, which is typically seen as a good thing in business contexts."
2,The duration of the contract is 37 months .,"NEUTRAL
The sentence simply states a fact about the duration of the contract without expressing any positive or negative sentiment."
0,Olvi has posted a strong set of figures for the first six months of this year .,"POSITIVE
The sentence expresses positive sentiment by stating that Olvi has posted a strong set of figures for the first six months of this year."
2,UPM-Kymmene said its has ` not indicated any interest in any domestic consolidations ' .,"NEGATIVE
The sentence indicates a lack of interest in domestic consolidations, which can be seen as a negative sentiment in terms of potential growth or expansion opportunities."
0,"EBIT excluding non-recurring items , totalled EUR 67.8 mn , up from EUR 38.1 mn .","POSITIVE
The sentence expresses a positive sentiment as it indicates an increase in EBIT, which is a key financial metric, from EUR 38.1 mn to EUR 67.8 mn."
1,"Operating profit margin was 8.3 % , compared to 11.8 % a year earlier .","NEGATIVE
The decrease in operating profit margin from 11.8% to 8.3% indicates a negative trend in the company's financial performance."
2,The phones are targeted at first time users in growth markets .,"NEUTRAL
The sentence describes a factual statement about the target market for the phones, without expressing any positive or negative sentiment."
1,"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .","NEGATIVE
The sentence indicates a decrease in operating profit, which is typically viewed as a negative outcome in business."
2,"The major part of the deliveries include different AC and CXE amplifier solutions and products by Belgian DINH Telecom , a broadband solutions company acquired by Teleste in the spring of 2007 .","NEUTRAL
The sentence provides factual information about the deliveries of amplifier solutions and products by a broadband solutions company, without expressing any positive or negative sentiment."
0,Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,"POSITIVE
The sentence expresses a positive sentiment as it indicates an improvement in the operating result from a loss to a profit."
2,com and possibly also through photo-msn .,"NEUTRAL
The sentence does not convey any sentiment, it is simply mentioning a website and a possible method of communication."
0,"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .","POSITIVE
The sentence expresses a positive sentiment as it highlights an increase in operating profit from EUR 730mn to EUR 854mn, indicating growth and success in the company's financial performance."
0,"Equity ratio was 60.9 % compared to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 % from the third quarter of 2006 .","NEUTRAL
The sentence provides factual information about the equity ratio and net sales without expressing any positive or negative sentiment."
2,"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products operating in Finland .","NEUTRAL
The sentence provides factual information about Glaston's glass processing unit in Finland without expressing any positive or negative sentiment."
1,"Commission income decreased to EUR 3.8 mn , compared to EUR 4.6 mn in the third quarter of 2007 .","NEGATIVE
The sentence expresses a negative sentiment as it indicates a decrease in commission income, which is typically seen as unfavorable in a financial context."
1,"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri","NEGATIVE
The sentence is classified as negative because it mentions that the company's net loss widened, indicating a negative financial outcome."
0,"BasWare 's CEO Ilkka Sihvo comments in conjunction with the Interim Report : `` As a whole , BasWare succeeded well in the second quarter of 2007 .","POSITIVE
The sentence expresses a positive sentiment as it highlights the success of BasWare in the second quarter of 2007."
2,Shuweihat 2 got under way in July 2008 when the project was awarded to desalination and power contractors .,"NEUTRAL
This sentence is neutral as it simply states a fact about the beginning of a project without expressing any positive or negative sentiment."
0,"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .","POSITIVE
The sentence expresses a positive sentiment as it highlights an increase in profit for the company, which is typically seen as a positive outcome in business."
2,"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .","POSITIVE
The sentence is providing factual information about the company's financial performance and number of employees without expressing any positive or negative sentiment."
0,`` We are pleased with the efforts of both negotiating teams and look forward to a productive four years ahead . '',"POSITIVE
The sentence expresses satisfaction and anticipation for future collaboration, indicating a positive sentiment."
2,The EUR 0.7 million non-recurring expenses have been recorded for the third quarter .,"NEUTRAL
This sentence is neutral as it simply states a fact without expressing any positive or negative sentiment."
0,"Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur .","POSITIVE
The sentence expresses positive sentiment as it highlights an increase in earnings per share compared to the previous year and exceeding market expectations."
1,"Frost sold shares for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .","NEGATIVE
The sentence contains information about Frost selling shares at a lower price compared to Friday's high and low, indicating a negative sentiment in terms of financial performance."
0,"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .","POSITIVE
The sentence expresses positive sentiment as it indicates growth in revenue, which is typically seen as a positive outcome for a company."
0,The bank sees a potential for Getinge share to rise .,"POSITIVE
The sentence expresses a positive sentiment as it indicates that the bank sees potential for the Getinge share to rise, suggesting optimism and potential growth."
0,"Operating profit totalled EUR 0.4 mn , up from an operating loss of EUR 0.8 mn year-on-year .","POSITIVE
The sentence indicates a positive sentiment as it highlights an improvement in operating profit from a loss to a positive figure year-on-year."
0,Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 .,"POSITIVE
The sentence expresses a positive sentiment as it indicates an increase in passenger-related revenue, which is typically seen as a positive financial outcome."
0,"Finnish airline Finnair has won a deal with the UK public sector to be the official airline for flights from London Heathrow to Osaka in Japan , as well as flights between Manchester in the UK and Helsinki in Finland .","POSITIVE
The sentence expresses a positive sentiment as it highlights a successful business deal between Finnair and the UK public sector, which is beneficial for both parties involved."
2,"Patrick Jeambar will also continue being responsible for Innovation and Health , safety and environment HSEA functions of Ahlstrom Corporation .","NEUTRAL
The sentence simply states a fact about Patrick Jeambar's responsibilities within Ahlstrom Corporation without expressing any positive or negative sentiment."
2,"For 2009 , net profit was EUR3m and the company paid a dividend of EUR1 .30 apiece .","POSITIVE
The sentence contains factual information about the company's financial performance, indicating a successful year with a net profit and dividend payment, which typically conveys a positive sentiment."
0,"For the current year , Raute expects its net sales to increase and the operating result -- to be positive .","POSITIVE
The sentence expresses a positive sentiment as it mentions an expectation of an increase in net sales and a positive operating result for Raute in the current year."
0,"The total delivery volume of paper businesses in 2010 was 1,155,000 tonnes , up from 1,132,000 tonnes in 2009 .","POSITIVE
The sentence provides factual information about an increase in the total delivery volume of paper businesses from 2009 to 2010, indicating growth and improvement in the industry."
2,No changes in media activity were seen in October compared with September .,"NEGATIVE
The sentence indicates a lack of improvement or progress, which is typically associated with a negative sentiment."
1,"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .","NEGATIVE
The sentence expresses a negative sentiment as it indicates a decrease in profit before taxes from Q2 of 2008 to Q2 of 2009."
2,Amanda Capital has investments in 22 private equity funds and in over 200 unquoted companies mainly in Europe .,"NEUTRAL
The sentence provides factual information about Amanda Capital's investments without expressing any positive or negative sentiment."
2,"After the restructuring , UPM 's average paper machine capacity in Europe will be 320,000 tons ( 350,000 short tons ) in coated magazine paper and 420,000 tons ( 460,000 short tons ) in coated fine paper .","NEUTRAL
The sentence provides factual information about UPM's paper machine capacity after restructuring without expressing any positive or negative sentiment."
2,Grounds for the notification : Tiimari Plc 12/30/2010 issued Capital Convertible Loan allocation decision by the Board on 01/31/2011 .,"NEUTRAL
This sentence is neutral as it simply states a notification regarding a Capital Convertible Loan allocation decision made by the Board."
2,Nokia Messaging 1.1 enables customers to receive e-mails from up to 10 e-mail accounts on their mobile phone supporting all POP or IMAP e-mail services .,"POSITIVE
The sentence expresses a positive sentiment by highlighting the convenience and versatility of Nokia Messaging 1.1, which allows customers to receive e-mails from multiple accounts on their mobile phone."
0,"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1","POSITIVE
The sentence is positive as it indicates an increase in net profit for Vaisala Oyj, showing financial success and growth."
0,"`` We 're delighted with the move '' says Morna Cowie , co-owner , above , `` it 's double the size of our current shop and has a lovely feel to it . ''","POSITIVE
The sentence expresses satisfaction and excitement about the move to a new, larger shop with a positive atmosphere."
0,Viking Line manages well with its current ferries .,"POSITIVE
The sentence expresses a positive sentiment towards Viking Line's management of its current ferries."
2,More than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries .,"NEUTRAL
This sentence is neutral as it simply states a fact about the number of special events hosted by the library system and its branch libraries."
2,The mill is concentrating on getting the supercalendered line running satisfactorily before restarting its older newsprint line .,"NEUTRAL
The sentence describes a neutral statement about the mill focusing on getting a new line running satisfactorily before restarting an older line."
2,"Viking will pay EUR 130 million for the new ship , which will be completed in January 2008 .","NEUTRAL
The sentence is providing factual information about a business transaction without expressing any positive or negative sentiment."
2,"Our customers include companies in the energy and process industry sectors , in particular .","NEUTRAL
The sentence simply states a fact about the types of companies that are included as customers, without expressing any positive or negative sentiment."
1,"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .","NEGATIVE
The sentence expresses a negative sentiment as it involves a legal dispute and financial claims between two parties."
2,"The Group owns and operates a fleet of more than 800dwt , while container capacity is 17,000 TEUs , and manages a diversified fleet of its own railway rolling stock of over 17,000 units .","NEUTRAL
The sentence provides factual information about the Group's ownership and operation of a fleet, container capacity, and railway rolling stock without expressing any positive or negative sentiment."
1,"The EU Commission said earlier it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years .","NEGATIVE
The sentence describes a negative event of the EU Commission fining multiple companies for alleged cartel activity, indicating a negative sentiment."
2,The company continued the development of a fully human antibody in its VAP-1 antibody program .,"POSITIVE
The sentence describes a positive development in the company's antibody program, indicating progress and advancement."
2,Eriikka S+Âderstr+Âm has previously held several positions in finance and control at Nokia Networks including acting as the Business Group Controller and having the corporate controller position at Nokia Siemens Networks .,"NEUTRAL
The sentence provides neutral information about Eriikka Söderström's previous positions in finance and control at Nokia Networks and Nokia Siemens Networks."
2,The financial details of the acquisition were not disclosed .,"NEGATIVE
The use of the word ""not disclosed"" indicates a lack of transparency, which typically carries a negative connotation in financial contexts."
1,"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .","NEGATIVE
The sentence expresses a negative sentiment as it mentions the financial loss Finnair is expected to incur during the strike."
2,He is a Chartered Accountant in British Columbia and Alberta as well as a Certified Public Accountant in Washington State .,"NEUTRAL
The sentence provides factual information about the individual's professional qualifications without expressing any positive or negative sentiment."
0,Construction volumes meanwhile grow at a rate of 10-15 percent annually .,"POSITIVE
The sentence expresses a positive sentiment by highlighting the growth in construction volumes at a rate of 10-15 percent annually."
0,"The company 's net profit amounted to EE 55.5 mn , which was 36 % more than in 2004 .","POSITIVE
The sentence expresses a positive sentiment as it highlights an increase in the company's net profit compared to the previous year, indicating growth and success."
2,"Complete name of shareholder : Otto Henrik Bernhard Nyberg For further information , please contact Maija-Liisa Friman , CEO , tel. +358 9 7597 0711 .","NEUTRAL
The sentence is providing factual information without expressing any positive or negative sentiment."
2,"At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share .","NEUTRAL
This sentence is providing factual information about the share subscription price without expressing any positive or negative sentiment."
2,"Indigo and Somoncom serve 377,000 subscribers and had a market share of approximately 27 % as of May 2007 .","NEUTRAL
This sentence provides factual information about the number of subscribers and market share of Indigo and Somoncom as of May 2007 without expressing any positive or negative sentiment."
2,Rapala aims to move the distribution unit Ragot from Loudeac in Bretagne and the distribution unit Waterqueen and the fishing line supplier Tortue from Saint Marcel in Central France to Morvillars .,"NEUTRAL
The sentence is neutral as it simply states a business decision without expressing any positive or negative sentiment."
2,"Elcoteq SE Stock Exchange Announcement February 4 , 2009 at 10.00 am ( EET ) Elcoteq will publish its financial statements bulletin 2008 on Wednesday , February 11 , at 9.00 am ( EET ) .","NEUTRAL
This sentence is providing factual information about a stock exchange announcement and the publication of financial statements, without expressing any positive or negative sentiment."
2,"The total size of the complex is around 25,000 m2 and the project will be constructed in stages .","NEUTRAL
The sentence provides factual information about the size of the complex and the construction process without expressing any positive or negative sentiment."
0,"Finnish investment group Panostaja Oyj said its net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 , ended October 31 , 2006 , from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05 .","POSITIVE
The sentence expresses a positive sentiment as it highlights an increase in net profit for the Finnish investment group Panostaja Oyj from 2.8 mln euro to 8.6 mln euro, indicating financial growth and success."
0,Operating profit improved to EUR 20.3 mn from EUR 11.4 mn .,"POSITIVE
The sentence expresses a positive sentiment as it indicates an improvement in operating profit from EUR 11.4 mn to EUR 20.3 mn."
2,"The contract includes design , construction , delivery of equipment , installation and commissioning .","NEUTRAL
The sentence describes a list of tasks included in a contract without expressing any positive or negative sentiment."
2,"3 January 2011 - Scandinavian lenders Sampo Bank ( HEL : SAMAS ) , Pohjola Bank ( HEL : POH1S ) and Svenska Handelsbanken ( STO : SHB A ) have provided a EUR160m ( USD213m ) line of credit to Lemminkainen Oyj ( HEL : LEM1S ) , the Finnish construction firm said on Friday .","NEUTRAL
The sentence provides factual information about a financial transaction without expressing any positive or negative sentiment."
2,"Its product portfolio comprises harvesters , forwarders , harvester heads , as well as cranes and loaders .","NEUTRAL
The sentence simply lists the products in the company's portfolio without expressing any positive or negative sentiment."
0,"Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday it returned to a net profit of EUR 2.7 million USD 3.8 m for the first nine months of 2010 versus a net loss of EUR 579,000 for the same period of 2009 .","POSITIVE
The sentence conveys a positive sentiment as it discusses the company's return to a net profit, indicating financial success and improvement in performance compared to the previous year."
0,"The earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier .","POSITIVE
The sentence expresses a positive sentiment as it highlights an increase in earnings per share from the previous year, indicating growth and success in the company's performance."
2,The figure does not include food exports from Finland .,"NEGATIVE
The sentence expresses a negative sentiment as it mentions the exclusion of food exports from Finland, which could imply a loss or limitation in the data or analysis."
2,"In the first quarter of 2008 , Sacanfil 's net sales totalled EUR 50.0 mn and its operating profit EUR 4.7 mn .","NEUTRAL
The sentence provides factual information about Sacanfil's net sales and operating profit in the first quarter of 2008 without expressing any positive or negative sentiment."
